merchant_name,status,nooftransactions
AUTOGRILL 7157,completed,1
GIBRALTAR CAR PARKS FI,completed,1
RenatoRodriguesDa,completed,6
TESCO STORES 4337,completed,1
PANIF COLINAS DO SOL,completed,2
BALAROTI,completed,2
HR CAFE GRAMADO LTDA E,completed,2
PANIFICADORA SETOR O,completed,2
24 HORAS Z SHOP,completed,2
CASA CIRURGICA VIEIRA.,completed,2
SUPERDUMBO ALTABIX,rejected,2
COOP-1864 GE R.DE,completed,1
PBL - POSTO BAIRRO LIM,completed,6
EXTRAFARMA RUA JOSE JA,completed,2
SUMUP  *NETOFRUTASEVER,completed,2
MirosBar,completed,2
GUISSONA VIC,completed,1
DROGASIL 1994,completed,2
EXTRA BARRA TIJUCA,completed,6
AERTAX NUM 26,completed,1
PB          *Malwareby,completed,2
LA SIESTA,completed,1
SUPER VAIDOSA,completed,2
BEIRA RIO,completed,2
ESC CONS AGCY MALAGA,completed,1
PadariaE,completed,6
INTERMARCHE PORT MOS,completed,1
CARREFOUR ALICAN,completed,1
DJANGO,completed,2
CARREFOUR ALCAZ,rejected,2
CALI MOVE,completed,5
MARIPOSARIO DE BENALMADEN,completed,2
BLD*RESUME,completed,2
1PASSWORD* TRIAL OVER,completed,1
TOTEM KINOPLEX D PEDRO,completed,4
Revolut**5325*,rejected,1
EXTRAFARMA HOLANDESES,completed,2
DJ COMERCIO DE COMBUST,completed,2
AVENIDA JAIME POGGI,completed,2
LA BOCANA,completed,1
E.G. S. LAZAROS PROJECT,completed,1
MGP*VINTED,rejected,1
R12 CALCADOS E ESPORTE,completed,2
SUPER DIA DIA LEBLON,completed,4
KAJIVA,completed,2
PAYPAL *SCREWFIX,completed,1
DROGARIA R L,completed,2
DEICHMANN-OBUV S.R.O. 103,completed,2
PIZZARIA BOM GOSTO,completed,2
CB CURITIBA COMERCIO D,completed,2
M APARECIDA DE SOUZA,completed,2
RUIZ GALAN SUPERMERCADO L,completed,1
BSB_GLYFADA,completed,1
VISTAMARE PIZZERIA,completed,1
MERCPAGO    *MOTOTAXI,completed,2
XIRINGUITO DE LA MEI,completed,1
Glovo GLOVO B3NE3C1Z,completed,1
RAKUTEN.TV,completed,1
LE ROND POINT D,completed,3
HORTIFRUTI,completed,6
ACQIO  *Boulangerie A,completed,2
RUA PRUDENTE DE MORAES,rejected,1
BOM DIA SUPERMERCADO,completed,6
CEPSA 17155-1 L,completed,1
CLINP CLIN,completed,4
ZARA HOME,completed,2
PostoFazgran,completed,6
RUA CRUZ ALTA,completed,2
SUBMARINO,completed,13
COOPER,rejected,1
WILLI BEACH,completed,1
DIN SKO 1132,completed,1
CECOTEC,completed,1
EMMA,completed,1
JD PRIMAVERA ALIMENTOS,completed,2
MERCADOPAGO*PAGOFACILGCS,completed,1
DENTAL CLEAN,completed,2
PANIFICADORA RIO BRANC,completed,2
SUPERMERCADO ASP,rejected,1
GORDINO RESTAURANTE E,completed,2
CASA DE FRIOS NATURE,completed,2
RACER AUTO POSTO LTDA,completed,2
MIA AND MI,completed,1
00491744,rejected,1
"AV BELVEDERE, QD U , L",canceled,4
WOMEN SECRET,completed,1
WHISK CRITORIO,rejected,1
PIRATE CANDY SHOP,completed,1
Revolut**4964*,completed,1
ZP *PADARIA E CON,completed,2
MBI-PROBILLER.COM,rejected,1
SBX DUNAKESZI AUCHAN,completed,1
BADEN HOUSE PHARMACY,completed,1
BOWLING NEXT LEVEL,completed,5
CARNICERIA COVADONGA,completed,7
101828681,completed,2
DIA BRASIL 127,completed,2
FARMACIA ROZELIS,completed,2
VIPAO,completed,2
ZONA SUL,rejected,3
TESCO STORES 5911,completed,1
RECARGA*PAGSEGURO I,completed,4
MERCADINHO NOGUEIRA,rejected,1
MM PE'CS,completed,1
SPAR ARNES,completed,2
GOOGLE  Google Store,canceled,1
DELIVERY CENTER REGION,completed,2
KOOXDA.ES,completed,1
CASA DE CARNE A PEQUEN,completed,4
CHARMANTAS GEORGIOS,completed,1
SumUp  *Clevedon beach,completed,1
AMAZON.COM AMZN.COM/BILL,completed,1
E.S. ESTELRICH ALOS SIMON,completed,1
99* POP 05Set 19h59min,rejected,1
Cabify Espana,canceled,1
PAYPAL *SECRETLABNL,pending,1
PADARIA PAO NOSSO,completed,2
A P MATRIZ,completed,2
LEROY MERLIN TIETE,completed,2
JOSE CICERO MATIAS DE,completed,2
SUNOMONO BARRA,completed,2
VALENTIN GABRIEL,completed,2
POSTO CACIQUE LTDA,completed,2
PICPAY *GR1 PGTOCONTA,completed,4
HSH*SENNA MOVEIS,completed,6
AUTO POSTO AEROPORTO L,completed,2
SUPERCENTRAL SUPERMERC,completed,4
RECVIVO*54996478596,completed,2
DROGARIA SAYONARA,completed,2
MAMA FRANCA COSTASOL,completed,1
ECOLAV ESTETICA AUTOMO,canceled,4
CHOCOLATERIE TRANSIT,rejected,1
B S COPACABANA COMERCI,completed,8
MACK VI,completed,2
Amazon.com.br,completed,43
PadariaDoWarley,completed,2
PAYPAL *MPL,completed,1
7558.2892.6967 CARDS 2,completed,2
ROD BR 116,completed,14
PARKING MARTINEZ ASTEI,completed,1
AAFaveroEventosMe,rejected,1
Google OASIS GAMES,rejected,4
RESTAURANTE WELCOME,completed,1
99* POP 10Ago 02h35min,rejected,1
LIDL BENALMADENA,completed,6
MariaDeFatimaDa,rejected,1
PAD MERCI VL ROMANA,completed,8
MERCPAGO    *MATEUSMO,completed,10
JADE ORQUIDEA,rejected,2
99* POP 13Mai 20h28min,completed,2
Revolut**7429*,rejected,1
Spotify UK,completed,1
SILVERADO RESORT,completed,2
GSTW G E ADMINISTRACAO,completed,2
AMZN MKTP ES AMAZON.ES,completed,4
MERC SILVA E BARBOSA,completed,2
KALUNGA.COM,completed,2
O REI DAS COXINHAS,completed,2
MARKKA COMERCIAL LTDA,completed,2
MERCPAGO*LUXURIES,rejected,1
BIDU V,completed,2
EXTRAFARMA WASHIGTON S,completed,2
EL GARNACHO,completed,1
CETURSA TAQUILLAS,completed,1
Netto Marken-Discount,completed,29
SUPERMERCADO ORIENTAL,completed,9
"STACKPATH, LLC",rejected,3
EXTRA MOOCA LJ 1364,completed,12
SOUZA 2,completed,12
ACOUGUE DOS AMIGOS,completed,4
99* POP 18Ago 00h33min,rejected,1
W HOTEL PALM JUMEIRAH,completed,1
SAINSBURYS,rejected,6
CASA FLEITH,completed,2
LOS LOCOS,completed,1
PORTO DO SABOR BP,completed,2
EXTRA PALMAS,completed,6
ASDA STORES,completed,2
ARTIMA SA,completed,6
PAYPAL *ADUNWORTH EBAY,completed,1
BRICOLLAR SL,completed,1
BARTOLOMEU BOTEQUIM DA,completed,2
99* POP 06Ago 01h14min,rejected,1
PARKING AVENIDA,completed,1
WWW.HETZNER.DE,completed,1
SUPERPRIX LOJA 16,completed,4
TRATTORIA DEL CORSO,completed,2
J C L DA SILVA ME,completed,2
DISQUE CERVEJA RESSACA,completed,2
MERCPAGO*ELITESHOP,completed,2
ClaudiaTeresinha,completed,2
PAYPAL *NOMOO,completed,1
emag.bg/marketplace,completed,1
VILA DAS FRUTAS GUATAS,completed,2
JOSE A.MAS BERNARD,completed,1
PETROLINA LEIVADION,completed,1
C CENTRAL RESORT,completed,1
LA CROISSANTERIA,canceled,4
COMERCIAL ITU DE PNEUS,completed,2
W M MORRISON STORE,completed,2
UDIFRIOS DISTRIBUIDORA,completed,2
ASDA PETROL 4145,rejected,1
ROYAL MAIL REDIRECTION,canceled,1
DJ TAKANO QUITANDA E M,completed,4
BICING,completed,3
RUA BARAO DE MAUA X AV,canceled,4
NSA SERVICOS ALIMENTIC,completed,2
KEBAB SHACK,completed,3
MERCPAGO*SPECIALFOTO,completed,2
SUPERDUMBO ALTABIX,completed,9
DROG SAO PAULO FL 199,rejected,2
BANGKOK 9 ISO-O,completed,2
CACAU SHOW PATIO IPORA,completed,2
CAFE INN,completed,1
PAYPAL *JUSTEATSPAI,rejected,1
QUINTAL FRATELLI,completed,2
Pepperoni,completed,4
CONFEITARIA REQUINTE,completed,2
EC          *OLIST,completed,2
LUSH BEACH BAR,completed,1
JhonyHerculesLeit,rejected,1
BROWNS BATH,completed,1
TEXACO LA ALTAG,rejected,1
AFOI POULIOU IKE,completed,1
KIKO UK LTD,completed,1
RECARGAPAY GOV. PARANA,completed,2
HORTIFRUTI GRAMADO,completed,2
DEMAC PRODUTOS FARMACE,completed,2
BESSA PAES E DOCES,rejected,2
RESTALLAMAS SL,completed,1
ANG SUPER LJ 23,completed,2
ERAMNSA,completed,1
TIME OUT CAFE,completed,1
PARSONS NOSE,rejected,1
DIA BRASIL 476,completed,4
FET LTDA,completed,4
GilmarRodrigues,completed,2
MERCPAGO*CARTORIOFEDER,completed,3
MERCADONA ARCHIDUQUE LUIS,rejected,1
GOOGLE *Google Store,canceled,1
FARMACIA PRECO BAIXO,completed,12
SCREWFIX DIRECT,completed,11
EMPORIO ROYALE,completed,2
LOJAS TEDDY,completed,2
LEROY MERLIN NATAL,rejected,3
RECargap    *OI,rejected,1
SANTIAGO MATERIAIS PAR,completed,2
THELADDERS.COM,completed,1
POSTO LINHA AMARELA,completed,2
EST SERV AEROPUERTO,completed,2
MESON BOTAVINO,completed,2
MC DONALDS  WHI,completed,4
YUTAKA TEPPANYAKI,completed,1
MIDTOWN CAR PARK,completed,1
BEAUTY   MASSAGE,completed,2
COSTA COFFEE,completed,3
TESCO PFS 2181,completed,4
Av. Paulo Fontes,completed,2
GDS BOULEVARDS,completed,1
KALUNGA JOINVILLE,completed,2
ROTUNDA HOLDINGS LTD,completed,1
PAYPAL *SPOTIFY,canceled,1
CAMPO E LAVOURA,completed,2
MERCPAGO*RECARGATIM,completed,4
PROJETO PARK ESTACIO,completed,2
LA CAMPESINA RESTAURAN,completed,2
FET L T D A,completed,2
AV WASHINGTON BARCELOS,completed,2
FARM SAO JOAO NOVO HAM,completed,2
nuevo manzanar,completed,1
PIZZERIE SUZIES,completed,1
PADARIA E MERCEARIA DO,rejected,2
DECATHLON LOS BARRIOS,completed,2
ifood  *SPOONROCKET,completed,12
NISA LOCAL,completed,7
99* POP 13Mar 09h59min,completed,2
DISCO N? 13,completed,1
PAMILAC PANIFICADORA,completed,18
KarlinhoAnten,rejected,1
AUTO POSTO SAO PAULO,completed,6
MERCALE,completed,6
DP ITATIAIUCU,completed,2
ESTER DE PROENCA PETRY,completed,10
POSTO DELTA JOINVILLE,completed,2
SCHUTZ IGUATEMI,completed,2
Oriental,completed,1
NOVASCHOOL BENALMADENA,completed,1
BOLT.EU /O/2011191113,completed,1
EMIRELI,completed,12
PostoAgricopel,completed,2
WWW.OBDEV.AT,completed,1
MUNDO DAS AVES,rejected,1
ACOUGUE 5 IRMAOS,completed,4
MINEIRO BOM,completed,4
PIZZAPRIME,completed,14
BROTHERS,completed,2
MERCPAGO*ALEXGATTI,canceled,4
CAPRICHO'S,completed,2
SANTOS OCHOA SA,completed,1
PROMENTUM SPAIN SLU,completed,1
KATILU,completed,1
10011732,completed,1
DO23Y61,rejected,1
TESCO STORE 2814,rejected,1
ZAFALON - AUTO POSTO S,completed,2
RJM EMPREEND DE HOTE,completed,2
CURRYS ONLINE,completed,1
SUPER MUFFATO,rejected,1
ROBSON RENATO VIEIRA 0,completed,2
99* POP 14Mai 20h31min,completed,2
PANIFICADORA RENATA,completed,2
YUBICO AB,completed,1
UDEMY: ONLINE COURSES,completed,1
DZING.FINANCE,completed,1
HLE ENTRETENIMENTO,completed,2
MERCADONA SANT JAUME,completed,1
MERCADONA ARCHIDUQUE L,pending,1
JaneDaSilvaPires,completed,2
PAYPAL *SVEL ADP EBAY S,completed,1
Netflix.com,pending,1
REDE OBA HORTIFRUT,completed,24
SUPECO JEREZ,completed,7
RECANTO DOS FRIOS,completed,2
MC DONALDS,completed,34
DROG ARAUJO FILIAL 100,completed,2
VILLAGE ORGANIC,completed,1
99* POP 04Jun 01h31min,completed,2
PADARIA TEM PAO,completed,2
LIMA E SEBASTIAO LTDA,completed,8
PAYPAL *NEXTBIKE,completed,1
00490192,completed,2
GIAMAR GER,completed,4
PRIME AUTO POSTO,completed,2
INDUSTRIACOMERCIO,completed,6
FIORELLO CAFE,completed,2
ESTRADA PAU-FERRO,canceled,4
ESTRADA ITAPICURU,completed,4
Fulham,completed,1
INOVATHI,completed,2
EBANOS SORVETES E ACAI,completed,2
"MAXIMA X T240,PAE 78",completed,1
POST OFFICE COUNTER,completed,1
RAPPI*PRIME BRASIL INT,completed,6
IZ *THE ARTISAN BAKEHO,completed,1
CIAMACAE,completed,2
WWW         *CP,rejected,1
ACQ*Coisas da Rocas e,completed,2
MONETIZZE   *98458,completed,2
CO-OP GROUP FOOD,completed,5
ACOUGUE FILIPENSE CARN,completed,2
MERCPAGO    *DISTRIBU,completed,2
SUPER ADEGA,canceled,4
BURGER KING AV. DAS AM,completed,2
ROGUE KITCHEN,completed,1
SEGREDOS ESCOLA TECNIC,completed,2
PAYPAL *MICHAELKORS,completed,2
NATIVA PERFUMARIA,completed,2
LINKEDIN-603*4716604,rejected,1
Terranova,completed,1
LLOYDS,completed,6
A LISBOETA PAD E CONFE,completed,6
MERCADO MASTER ECONOMI,completed,6
BOURBON N HBURGO,completed,10
GOLDCAR CENTRAL,rejected,15
HOSTAL CAL MET,completed,1
L ESPRESSO VIRGINIA-MIRA,completed,1
BANK OF VALLETT,rejected,1
ST CLEMENTS,completed,1
MARKS SPENCER PLC SACA,completed,4
RAF 868 LANCHONETE EIR,completed,4
SENSEI GRILL SUSHI,completed,2
GOJI SUCOS,completed,4
O2,rejected,1
ULTRAMATER,completed,2
PICPAY *EJ3 ANTONIOAN,completed,18
PESCADERIA LA PERLA,completed,1
Ekombinando,completed,2
PICPAY *PZ5 PGTOCONTA,completed,4
CNBX,completed,2
SHALFORD VILLAGE STORE,rejected,1
HD TARAJAL,completed,3
WWW.MCDELIVERY.COM,completed,1
Sainsburys Bank,rejected,2
M C S ABREU MERCEARIA,completed,2
Revolut**0353*,rejected,1
FABIO BAUNGART,completed,2
CHALE DO TRIGO PAES E,completed,4
NEW DOG,completed,2
LEROY MERLIN CAMPINAS,completed,2
ONLY FANS,rejected,1
GOTTEBITEN MORA,completed,1
HOTEL IRMAOS BENETTI,rejected,1
PIZZERIA LA COBIJA,completed,1
ASTOR,completed,2
CO-OP GROUP FOOD RETAI,completed,17
RIO OPEN,completed,2
MENDONCA REST EIRELI,completed,2
IKEA MALAGA,completed,4
MC DONALDS RAN,completed,2
EstherCosta,completed,2
P. MASRAMON,completed,7
CLADIA DO AMOR D. MORE,completed,4
FARMACIA PRECO BAIXO,canceled,2
CARREFOUR ALCAZ,completed,2
MERCADO JB 2,completed,2
DING   *60719618,completed,1
BOMPRECO B564 H CABULA,completed,2
JORDI'S NAUTIC,completed,1
COSTA @ TESCO,completed,1
BOOTS LONDON,completed,1
CANAABOLSAS,rejected,1
RESTAURANTE SUSHI JK L,completed,4
TE45216,rejected,1
ESTACION DE SERVICIO LA T,completed,1
TESCO PAYAT PUMP 3700,rejected,1
PIZZARIA BELLA & PAULI,completed,2
CE EMPREENDIMENTOS,completed,4
AVENIDA CAFE CONVENIEN,completed,2
FrancieleRibeiro,completed,4
C.MINEIRAO 66 MLS - LA,completed,4
ELIN PETRIDIS,completed,2
FARMACIA SANCHEZ QUIROS,completed,2
POSTO LUCCA,completed,2
DA VINCI RISTORANTI E,completed,2
MERCADO CAROLINA,rejected,2
REDE CAMPEAO,completed,2
ALMEIDA ROCHA PRAIA GR,completed,2
Google YouTube Music,completed,2
COINBASE ML85,completed,1
20480332,completed,1
CPF / ITAU / 03,completed,2
99* TAXI 10Mar 14h59mi,completed,2
000002200500000,completed,13
TEKINHO AGUA E GAS,completed,4
SACOLAO LAPA,completed,10
LINDT BRASILIA SHOP,completed,2
EBANX*SONYPLAYSTATN,completed,2
ESTANC,completed,1
COOPER,completed,8
POSTO PERIMETRAL,rejected,2
RUA LEBLON,rejected,2
NowTV ROI 839E6,completed,1
NAKAS GLYFADAS,completed,1
MERCPAGO    *LANCHONE,completed,11
BANCO SANTANDER,completed,2
LA CASITA,completed,2
DHL INTERNATIONAL,completed,1
ZARA INTERNET PORTUGAL,completed,1
CHRYSSIES SWEETS BOLOS,completed,2
GOOGLE  Google Play Apps,completed,2
CORKS RESTAURANT,completed,1
POSTO 3,completed,2
REAL MIX,completed,4
SANTA FE TABACARIA,completed,2
TESCO STORES 4910,completed,1
MERCADONA AVDA SDOR VTE M,completed,1
MARYARA,completed,2
FabianaDeLimaGabr,completed,2
PIZZARIA BOLONHA,completed,2
adidas FO Jerez Luz Shop,completed,1
LA PIZZA NOSTRA,completed,1
E.S. IBAETA,completed,1
RINCON GAUCHO,completed,1
NOTARIA D PEDRO ANTONIO C,completed,1
RUA BERNARDINO DE CAMP,canceled,4
RUA PRESIDENTE GETULIO,rejected,2
CASA CARNES FRONTEIRAS,completed,22
SPL*RUSTY BY DESIGN AU,rejected,6
FARMACIA PARA TODOS,completed,4
OMV RO,completed,2
adidas Espana S.A.U.,completed,2
PAYPAL *ENTIDADPUBL,completed,2
PLAISIO_eCommerce,completed,1
PAULISTAO LOJA 34,completed,2
"RUA BEIJUPIRA, SN",completed,2
GRAAL OLIVEIRA,completed,6
PARAISO DAS FRUTAS,completed,6
CASA DE CARNE BOTTINI,completed,2
COLPATRIA MED PREPAGAD,completed,1
PAYPAL *GREENLEAF,completed,1
CB ANHEMBI COMERCIO DE,completed,2
STARBUCKS RUZAFA,completed,1
PICPAY      *OBaraoBar,completed,2
VETERINARIA CENTENARIO,rejected,1
JULIO,completed,2
HM COMERCIO DE PECAS,completed,2
POSTO 67 DA FERNAO,completed,2
FRONTENDMASTERS COM,completed,1
POSTO EXTRA SANTOS 264,completed,2
RMS SUPRIMENTOS CORPOR,completed,2
UNIAO CENTRAL DA IGREJ,completed,2
RAIA 357,completed,4
COSTA VERDE SERVICOS D,completed,2
FERRETERIA PERELLO,completed,1
AIRBNB INC,rejected,1
UDEMY.COM,completed,2
Just Eat,pending,1
AmoreMioPetShop,completed,2
Genin Floreasca,completed,1
CARREFOUR-A.FRANCO,completed,2
PAYPAL *SPOTIFY,completed,6
LETSUSHI BARRA,completed,10
Woodstock,rejected,3
SUPERMERCADO PANELAO,completed,4
LIDL CY 107-MEDOUSIS,completed,7
ANTONIO SANCHEZ QUI#ONES,completed,1
TIENDA PARQUE MIRAMAR,completed,2
PP*6382CODE,completed,1
CanelaVerdePetisc,completed,2
AMZ*Juvo +,completed,1
GabriellyBerardoD,completed,2
VIA VAREJO SA,completed,2
TORREGOFRE,completed,1
OCAMPO COCINA AGENTIN,completed,1
HOTMART ClubeSaudavel,completed,2
CHINA IN BOX,completed,6
BECO DO ALEMAO BAR E L,completed,2
PORTO BIKE,canceled,2
BOMPRECO B009 CAXANGA,completed,4
OUTBACK BZ 8,rejected,1
EAT FRESH,completed,1
POSTO MONTE CARLO DAMH,completed,2
MCDONALDS,rejected,2
AUTOGRILL 0018,completed,1
TEDI Fil  8016,completed,1
WINDMILL TEAROOMS,completed,1
PAYPAL *BOOHOO COM,canceled,1
EL FARO MEDITERRANEO,completed,1
RIO CARNES SJRP,completed,2
LA LOMA,completed,1
ANDREW MARTIN,completed,1
SANTA MARIA,completed,1
FULHAM PHARMACY,completed,4
BAR BLOCK40537520,completed,3
FILCAR MECANICA DIESEL,completed,2
SANTOS ALIMENTOS,completed,2
MADERO JUNDIAI L  LATO,completed,14
IzacBezerra,completed,2
EMPORIO CASA BRANCA,completed,2
CROCODILOS GRILL,completed,2
PHARMAKION LEFTERI GEORGI,completed,2
99* POP 18Jul 14h36min,rejected,1
Prisma Iso Omena,completed,10
LOJAS AMERICANAS SALVA,completed,2
FANNY'S KEBABS,completed,1
99* POP 12Mar 16h44min,rejected,1
PIZZARIA CALIFORNIA,completed,2
PAMONHARIA E MERCEARIA,rejected,1
AGRO MALAKU ELA,completed,2
ES EL MASNOU,completed,1
Revolut**4340*,completed,1
WM MORRISONS STORE,completed,2
LU E LOURA,completed,2
BONDOR BAZAR CASH   CA,completed,1
ITOO COFFEE AND BEER,completed,2
ECCO ALIMENTOS,completed,2
ARTWAX,completed,2
CRV*Card verification,canceled,1
HAVAN LOJAS DE DEPARTA,completed,2
AL-HUMZA STORE -311001,completed,1
NiltonOvos,completed,4
ADEGA BEER COMERCIO DE,rejected,1
AV BALTAZAR DE OLIVEIR,completed,2
DEEZER MUSIC*ADYI5EB19,rejected,1
ARMAZEM 845,completed,4
JORLAN,completed,2
RIO DOIS PARKING,completed,2
COINBASE 92LB,rejected,1
HARMONT BLAINE,completed,1
CARREFOUR PATIO,completed,1
LECKFORD FARM SHOP,completed,1
00610220,completed,2
POUNDLAND LTD,completed,5
GABRIELA SCHEFFER DA S,completed,6
FILIAL BK AEROPORTO DE,completed,10
PizzaMarcante,completed,2
PAO DE ACUCA,rejected,1
MSJ REST LANCHES,completed,2
LANCHONETE NOVA BRISA,completed,2
PRATIC L DE C LTDA,completed,8
DOYOUSPAIN.COM,completed,1
SHELL PKP LIVADHIA,rejected,1
FUKU - ISO OMENA,completed,1
FARMANOSSA SOLAR,completed,2
99* POP 15Set 09h58min,rejected,1
WWW.LBHF.GOV.UK,completed,1
AUTO DZ,rejected,1
LOJAS AMERICANAS   567,completed,2
THE GALLERY,completed,1
OUTBACK BZ 28 DOWNTOWN,completed,2
DIA BRASIL 081,completed,2
SUPERMERCADO ATENDE MA,rejected,1
SACOLAO SACOLA CHEIA L,completed,2
FARMACIA FARMALINE LTD,completed,2
RamonBonfim,completed,2
AXESOR CONOCER PARA DECID,completed,1
GAVA HOTELARIA,completed,2
KWWO INC,completed,2
CORPO ATLETA,completed,2
FRIGO FRANGO,completed,2
E.S. RIO CASTOR I,completed,1
APP SKY RECA*APP Minha,rejected,2
SUPERMERCADO ASUN,completed,17
CASA DE CARNE PARANA,completed,2
STGCOACH/CTYLINK,completed,1
AUTO POSTO POPULAR,completed,2
RAIA 375,rejected,2
MERCEARIA MIX BAR LTDA,completed,20
SUPERMERCADO BIGBOX,completed,2
MERCPAGO    *SABORDAL,completed,4
VERITAS,completed,3
R ESPOO ISO OMENA METR,completed,1
MARKS   SPENCER SACAT,completed,4
KIOSQUE ROSEIRA LANCHO,completed,2
CrisBomfim,rejected,1
SUPERMERCADO GRICKI,completed,4
CASASBAHIA.C,completed,3
RAIA 2011,completed,2
MERCPAGO*GLOSSSTORE,completed,2
ROYAL SUPERMERCADOR,completed,4
SUPERMERCADO CAMPEAO,completed,4
BOOTS 0720,completed,1
SUP VERONA,rejected,2
ILIAD,rejected,1
TSURU RESTAURANTE JAPO,completed,2
99* POP 27Jul 23h30min,rejected,1
HOTEL LUCYS MANSION,rejected,4
BABY-ROSE WERLEN GMBH,completed,1
RESTOROUTE GRUYERE,completed,1
LIDER NORTE COMERCIO D,completed,2
STEAMGAMES.COM,rejected,1
PICPAY*verificacao,rejected,1
TUDOIPHONE,rejected,1
HOTEL SOLAR DE TEJADA,completed,1
AL SAFADI RESTAURANT,completed,1
E0508 BENALMADENA - AV,completed,1
FARMAKEIO ELENHS MOR,completed,1
K market Pohjantahti,completed,1
HOTEL LE ROC,completed,1
MC DONALDS JOV,completed,6
Sainsburys Bank,completed,13
SEA BLUE HOTEL,completed,2
ALIEXPRESS.COM,rejected,5
CONVENIENCIAS FERNANDA,completed,18
CARREFOUR OUTLET - CAM,completed,2
RUA DUQUE DE CAXIAS,canceled,4
ECOMM       *HERSHEYS,completed,2
AMERICANAS.C,completed,25
99* POP 20Jul 18h09min,rejected,1
Revolut**4924*,completed,1
TAXI 58,completed,1
MAMMA MIA,completed,3
