card,activation_date,deactivation_date,activedays
"110,372",2020-02-03 18:39:57,2020-07-22 13:20:46,170
"110,397",2020-02-04 20:06:35,2020-07-22 13:20:46,169
"110,406",2020-01-23 02:24:35,2020-07-22 13:20:46,181
"109,982",2020-07-09 09:21:40,2020-07-22 13:20:46,13
"109,987",2020-03-23 20:12:51,2020-07-22 13:20:46,121
"109,998",2020-01-24 00:51:03,2020-07-22 13:20:46,180
"110,014",2020-04-28 22:17:36,2020-07-22 13:20:46,85
"110,023",2020-01-17 15:36:41,2020-07-22 13:20:46,187
"110,028",2020-02-01 18:33:55,2020-07-22 13:20:46,172
"110,033",2020-01-22 02:58:23,2020-07-22 13:20:46,182
"110,050",2020-02-26 13:02:17,2020-07-22 13:20:46,147
"110,056",2020-04-25 17:36:04,2020-07-22 13:20:46,88
"110,066",2020-02-04 12:03:32,2020-07-22 13:20:46,169
"110,119",2020-03-05 21:43:19,2020-07-22 13:20:46,139
"110,125",2020-02-10 20:08:23,2020-07-22 13:20:46,163
"110,138",2020-01-27 23:30:24,2020-07-22 13:20:46,177
"110,142",2020-02-20 17:45:49,2020-07-22 13:20:46,153
"110,175",2020-02-20 12:44:39,2020-07-22 13:20:46,153
"110,185",2020-03-01 19:25:51,2020-07-22 13:20:46,143
"110,191",2020-03-02 17:24:02,2020-07-22 13:20:46,142
"110,199",2020-01-13 16:53:43,2020-07-22 13:20:46,191
"110,213",2020-02-07 13:42:28,2020-02-17 15:13:47,10
"110,232",2020-01-29 20:46:11,2020-07-22 13:20:46,175
"110,252",2020-01-21 22:18:35,2020-07-22 13:20:46,183
"110,276",2020-03-13 01:49:04,2020-07-22 13:20:46,131
"110,317",2020-07-07 12:56:46,2020-07-22 13:20:46,15
"110,329",2020-02-06 20:27:14,2020-07-22 13:20:46,167
"110,367",2020-04-22 00:13:01,2020-07-22 13:20:46,91
"110,375",2020-02-12 12:14:34,2020-07-22 13:20:46,161
"110,380",2020-01-22 19:31:44,2020-07-22 13:20:46,182
"110,386",2020-02-05 19:20:43,2020-07-22 13:20:46,168
"110,398",2020-02-08 16:03:46,2020-07-22 13:20:46,165
"110,414",2020-02-06 13:33:02,2020-07-22 13:20:46,167
"110,448",2020-02-04 21:17:03,2020-07-22 13:20:46,169
"110,454",2020-03-06 23:28:16,2020-07-22 13:20:46,138
"110,464",2020-02-13 20:32:03,2020-07-22 13:20:46,160
"110,469",2020-02-13 14:44:49,2020-07-22 13:20:46,160
"110,478",2020-01-18 00:16:02,2020-07-22 13:20:46,186
"110,490",2020-01-24 20:59:50,2020-07-22 13:20:46,180
"110,495",2020-02-05 09:21:13,2020-07-22 13:20:46,168
"110,503",2020-02-05 19:03:28,2020-07-22 13:20:46,168
"110,509",2020-02-14 19:23:04,2020-07-22 13:20:46,159
"110,531",2020-03-07 04:22:48,2020-07-22 13:20:46,137
"110,547",2020-03-02 00:08:06,2020-07-22 13:20:46,142
"110,559",2020-02-08 15:23:45,2020-07-22 13:20:46,165
"110,576",2020-02-04 19:43:13,2020-07-22 13:20:46,169
"110,586",2020-01-24 13:27:03,2020-07-22 13:20:46,180
"110,599",2020-01-31 14:13:02,2020-07-22 13:20:46,173
"110,625",2020-04-10 23:08:18,2020-07-22 13:20:46,103
"110,630",2020-01-22 18:25:16,2020-07-22 13:20:46,182
"110,663",2020-01-24 00:21:05,2020-07-22 13:20:46,180
"110,675",2020-01-24 01:27:11,2020-07-22 13:20:46,180
"110,691",2020-04-10 02:17:00,2020-07-22 13:20:46,103
"110,753",2020-02-06 14:28:16,2020-07-22 13:20:46,167
"110,765",2020-01-23 23:39:30,2020-07-22 13:20:46,181
"110,772",2020-01-24 21:28:37,2020-07-22 13:20:46,180
"110,787",2020-01-24 16:44:13,2020-07-22 13:20:46,180
"110,824",2020-02-28 15:47:17,2020-07-22 13:20:46,145
"110,854",2020-01-23 11:01:41,2020-07-22 13:20:46,181
"110,866",2020-01-25 18:41:37,2020-07-22 13:20:46,179
"110,870",2020-01-25 15:17:13,2020-07-22 13:20:46,179
"110,909",2020-02-02 14:34:13,2020-07-22 13:20:46,171
"110,945",2020-01-30 19:32:57,2020-07-22 13:20:46,174
"110,967",2020-02-07 22:47:26,2020-07-22 13:20:46,166
"110,974",2020-01-30 12:51:29,2020-07-22 13:20:46,174
"111,011",2020-01-28 00:10:40,2020-07-22 13:20:46,176
"111,032",2020-05-13 20:32:51,2020-07-22 13:20:46,70
"111,080",2020-02-03 14:56:10,2020-07-22 13:20:46,170
"111,087",2020-01-31 19:43:11,2020-07-22 13:20:46,173
"111,091",2020-03-18 02:17:58,2020-07-22 13:20:46,126
"111,120",2020-04-04 12:05:33,2020-07-22 13:20:46,109
"111,152",2020-02-13 20:01:09,2020-07-22 13:20:46,160
"111,159",2020-02-02 22:49:55,2020-07-22 13:20:46,171
"111,172",2020-01-30 14:59:19,2020-07-22 13:20:46,174
"111,183",2020-02-04 19:58:54,2020-07-22 13:20:46,169
"111,191",2020-06-05 21:29:36,2020-07-22 13:20:46,47
"111,195",2020-01-31 10:29:25,2020-07-22 13:20:46,173
"111,210",2020-02-05 19:40:32,2020-07-22 13:20:46,168
"111,229",2020-02-06 14:26:29,2020-07-22 13:20:46,167
"111,233",2020-01-31 12:39:07,2020-11-30 10:06:27,304
"111,241",2020-02-20 21:19:59,2020-07-22 13:20:46,153
"111,288",2020-02-26 12:47:19,2020-07-22 13:20:46,147
"111,315",2020-01-30 00:16:26,2020-07-22 13:20:46,174
"106,526",2020-02-04 02:05:49,2020-07-22 13:20:46,169
"107,354",2020-02-03 16:12:37,2020-07-22 13:20:46,170
"111,325",2020-01-29 22:26:07,2020-07-22 13:20:46,175
"111,371",2020-03-27 18:30:10,2020-07-22 13:20:46,117
"111,382",2020-02-04 16:32:12,2020-07-22 13:20:46,169
"111,340",2020-02-04 23:32:55,2020-07-22 13:20:46,169
"111,395",2020-01-29 12:09:36,2020-11-30 10:00:01,306
"111,403",2020-02-11 16:05:19,2020-07-22 13:20:46,162
"111,423",2020-02-04 21:05:47,2020-07-22 13:20:46,169
"111,429",2020-02-03 15:06:03,2020-07-22 13:20:46,170
"111,477",2020-02-12 18:01:54,2020-07-22 13:20:46,161
"111,498",2020-02-06 11:23:19,2020-07-22 13:20:46,167
"111,513",2020-04-08 17:55:24,2020-07-22 13:20:46,105
"111,531",2020-02-04 19:30:12,2020-07-22 13:20:46,169
"111,550",2020-02-03 21:29:54,2020-07-22 13:20:46,170
"110,425",2020-04-06 21:14:10,2020-07-22 13:20:46,107
"110,440",2020-02-03 15:40:21,2020-07-22 13:20:46,170
"110,447",2020-02-12 16:15:32,2020-07-22 13:20:46,161
"110,453",2020-02-13 16:16:48,2020-07-22 13:20:46,160
"110,457",2020-01-14 17:45:55,2020-07-22 13:20:46,190
"110,467",2020-01-20 19:18:38,2020-07-22 13:20:46,184
"110,489",2020-01-23 20:48:26,2020-07-22 13:20:46,181
"110,516",2020-02-10 19:45:40,2020-07-22 13:20:46,163
"110,524",2020-01-20 23:05:01,2020-07-22 13:20:46,184
"110,536",2020-02-04 04:31:38,2020-07-22 13:20:46,169
"110,568",2020-02-07 21:47:41,2020-07-22 13:20:46,166
"110,585",2020-02-04 16:49:34,2020-07-22 13:20:46,169
"110,607",2020-01-23 15:10:49,2020-07-22 13:20:46,181
"110,624",2020-01-27 18:07:33,2020-07-22 13:20:46,177
"110,629",2020-01-24 13:17:52,2020-07-22 13:20:46,180
"110,633",2020-01-31 00:47:59,2020-07-22 13:20:46,173
"110,642",2020-03-27 20:38:42,2020-07-22 13:20:46,117
"110,652",2020-02-21 23:17:09,2020-07-22 13:20:46,152
"110,660",2020-01-28 17:52:18,2020-07-22 13:20:46,176
"110,689",2020-01-26 14:14:58,2020-07-22 13:20:46,178
"110,695",2020-01-21 19:56:52,2020-07-22 13:20:46,183
"110,712",2020-04-03 22:54:20,2020-07-22 13:20:46,110
"110,722",2020-01-22 15:42:59,2020-07-22 13:20:46,182
"110,740",2020-01-26 00:37:06,2020-07-22 13:20:46,178
"110,750",2020-01-23 21:47:52,2020-07-22 13:20:46,181
"110,758",2020-01-27 14:05:36,2020-07-22 13:20:46,177
"110,729",2020-02-05 03:24:09,2020-07-22 13:20:46,168
"110,804",2020-01-29 14:20:16,2020-07-22 13:20:46,175
"110,815",2020-02-25 15:34:39,2020-07-22 13:20:46,148
"110,835",2020-01-25 16:08:16,2020-07-22 13:20:46,179
"110,863",2020-01-23 15:25:23,2020-07-22 13:20:46,181
"110,869",2020-01-23 17:42:03,2020-07-22 13:20:46,181
"110,915",2020-01-25 19:47:08,2020-07-22 13:20:46,179
"108,000",2020-02-03 15:44:12,2020-07-22 13:20:46,170
"111,586",2020-02-15 21:31:40,2020-07-22 13:20:46,158
"111,637",2020-02-06 16:48:05,2020-07-22 13:20:46,167
"111,675",2020-02-28 15:06:04,2020-07-22 13:20:46,145
"111,694",2020-02-13 00:49:17,2020-07-22 13:20:46,160
"111,708",2020-04-24 16:25:49,2020-07-22 13:20:46,89
"111,720",2020-02-17 14:19:35,2020-07-22 13:20:46,156
"111,726",2020-02-20 13:06:04,2020-07-22 13:20:46,153
"111,759",2020-02-15 04:33:49,2020-07-22 13:20:46,158
"111,822",2020-02-15 12:40:26,2020-07-22 13:20:46,158
"111,832",2020-03-29 18:04:48,2020-07-22 13:20:46,115
"111,843",2020-03-03 16:07:49,2020-07-22 13:20:46,141
"111,871",2020-02-17 22:10:30,2020-07-22 13:20:46,156
"111,893",2020-02-12 01:11:54,2020-07-22 13:20:46,161
"111,908",2020-02-15 14:41:03,2020-07-22 13:20:46,158
"111,928",2020-02-26 17:13:11,2020-07-22 13:20:46,147
"111,936",2020-02-14 01:42:16,2020-07-22 13:20:46,159
"112,017",2020-02-20 19:24:35,2020-07-22 13:20:46,153
"112,030",2020-02-13 17:01:43,2020-07-22 13:20:46,160
"112,048",2020-02-17 14:19:11,2020-07-22 13:20:46,156
"112,062",2020-02-13 22:40:16,2020-07-22 13:20:46,160
"112,095",2020-02-14 00:44:24,2020-07-22 13:20:46,159
"110,106",2020-02-28 23:53:43,2020-07-22 13:20:46,145
"112,149",2020-02-19 19:15:26,2020-07-22 13:20:46,154
"112,168",2020-02-18 11:03:38,2020-07-22 13:20:46,155
"107,381",2020-02-28 05:05:58,2020-07-22 13:20:46,145
"112,232",2020-04-01 18:46:49,2020-07-22 13:20:46,112
"112,262",2020-02-19 12:06:48,2020-07-22 13:20:46,154
"112,300",2020-02-14 19:32:54,2020-07-22 13:20:46,159
"112,340",2020-02-18 20:04:41,2020-07-22 13:20:46,155
"112,415",2020-02-25 22:12:14,2020-07-22 13:20:46,148
"112,431",2020-02-20 13:43:27,2020-07-22 13:20:46,153
"112,510",2020-03-13 03:31:32,2020-07-22 13:20:46,131
"110,923",2020-04-08 20:13:35,2020-07-22 13:20:46,105
"110,934",2020-03-13 13:28:58,2020-07-22 13:20:46,131
"110,944",2020-01-27 16:15:29,2020-07-22 13:20:46,177
"110,950",2020-01-30 16:28:43,2020-07-22 13:20:46,174
"110,958",2020-01-28 19:51:02,2020-07-22 13:20:46,176
"110,973",2020-01-29 17:38:44,2020-07-22 13:20:46,175
"110,982",2020-01-30 21:01:44,2020-07-22 13:20:46,174
"110,999",2020-01-30 17:26:39,2020-07-22 13:20:46,174
"111,042",2020-01-30 23:15:57,2020-07-22 13:20:46,174
"111,086",2020-01-30 01:40:53,2020-07-22 13:20:46,174
"111,090",2020-04-01 17:56:41,2020-07-22 13:20:46,112
"111,096",2020-01-28 14:35:18,2020-07-22 13:20:46,176
"111,112",2020-01-29 15:12:06,2020-07-22 13:20:46,175
"111,138",2020-02-04 11:47:32,2020-07-22 13:20:46,169
"111,158",2020-01-31 12:20:08,2020-07-22 13:20:46,173
"108,621",2020-02-01 02:56:44,2020-07-22 13:20:46,172
"111,182",2020-01-29 16:16:18,2020-07-22 13:20:46,175
"111,186",2020-02-05 19:14:25,2020-07-22 13:20:46,168
"111,228",2020-02-03 21:34:38,2020-07-22 13:20:46,170
"111,232",2020-02-05 13:36:05,2020-07-22 13:20:46,168
"111,239",2020-01-31 22:31:08,2020-07-22 13:20:46,173
"111,275",2020-02-03 01:17:31,2020-07-22 13:20:46,170
"107,526",2020-02-03 17:33:21,2020-07-22 13:20:46,170
"106,268",2020-02-04 17:36:43,2020-07-22 13:20:46,169
"107,997",2020-02-05 22:26:05,2020-07-22 13:20:46,168
"111,379",2020-02-10 15:53:11,2020-07-22 13:20:46,163
"111,389",2020-02-10 03:22:33,2020-07-22 13:20:46,163
"106,597",2020-01-31 10:53:13,2020-07-22 13:20:46,173
"111,402",2020-02-20 22:55:54,2020-07-22 13:20:46,153
"111,470",2020-02-18 11:55:46,2020-07-22 13:20:46,155
"111,476",2020-04-02 13:30:30,2020-07-22 13:20:46,111
"111,483",2020-03-10 23:50:29,2020-07-22 13:20:46,134
"111,497",2020-02-26 16:10:43,2020-07-22 13:20:46,147
"111,512",2020-02-12 14:13:56,2020-07-22 13:20:46,161
"112,569",2020-03-13 11:45:41,2020-07-22 13:20:46,131
"112,581",2020-02-22 19:08:36,2020-07-22 13:20:46,151
"112,504",2020-03-27 04:06:07,2020-07-22 13:20:46,117
"110,205",2020-03-02 19:25:38,2020-07-22 13:20:46,142
"111,345",2020-02-26 21:49:52,2020-07-22 13:20:46,147
"111,213",2020-02-25 19:31:32,2020-07-22 13:20:46,148
"112,673",2020-02-21 15:56:56,2020-07-22 13:20:46,152
"112,691",2020-02-19 14:29:10,2020-07-22 13:20:46,154
"112,712",2020-03-24 23:15:17,2020-07-22 13:20:46,120
"112,741",2020-02-24 16:31:30,2020-07-22 13:20:46,149
"112,756",2020-02-28 18:49:59,2020-07-22 13:20:46,145
"112,770",2020-03-09 15:01:27,2020-07-22 13:20:46,135
"112,834",2020-03-14 03:03:58,2020-07-22 13:20:46,130
"112,845",2020-03-03 04:55:47,2020-07-22 13:20:46,141
"112,854",2020-02-26 09:41:30,2020-11-30 10:06:29,278
"112,865",2020-02-29 14:00:31,2020-11-30 10:06:31,275
"112,871",2020-02-22 13:36:46,2020-11-30 10:02:03,282
"112,878",2020-02-25 18:17:47,2020-11-30 10:06:32,279
"112,883",2020-02-25 12:07:09,2020-11-30 10:06:34,279
"112,890",2020-02-27 20:27:46,2020-11-30 10:03:41,277
"107,664",2020-03-27 19:35:23,2020-07-22 13:20:46,117
"112,923",2020-03-05 14:04:29,2020-07-22 13:20:46,139
"112,932",2020-02-28 21:09:25,2020-07-22 13:20:46,145
"112,856",2020-03-03 11:15:10,2020-11-24 10:14:18,266
"112,858",2020-02-25 08:55:21,2020-11-30 10:03:37,279
"112,955",2020-02-29 00:24:08,2020-07-22 13:20:46,144
"112,968",2020-03-11 16:22:35,2020-07-22 13:20:46,133
"113,058",2020-03-10 01:41:03,2020-07-22 13:20:46,134
"113,066",2020-03-05 20:04:53,2020-07-22 13:20:46,139
"113,076",2020-03-06 00:34:05,2020-07-22 13:20:46,138
"113,097",2020-03-11 15:23:10,2020-07-22 13:20:46,133
"113,106",2020-03-17 00:53:48,2020-07-22 13:20:46,127
"113,159",2020-03-13 18:15:50,2020-07-22 13:20:46,131
"113,176",2020-03-06 23:43:46,2020-07-22 13:20:46,138
"113,209",2020-05-08 21:13:54,2020-07-22 13:20:46,75
"113,225",2020-03-15 20:23:44,2020-07-22 13:20:46,129
"113,235",2020-03-04 22:28:38,2020-07-22 13:20:46,140
"113,283",2020-04-02 15:58:37,2020-07-22 13:20:46,111
"111,528",2020-02-05 19:44:14,2020-07-22 13:20:46,168
"111,543",2020-02-19 16:41:26,2020-07-22 13:20:46,154
"111,576",2020-02-10 22:44:27,2020-07-22 13:20:46,163
"111,582",2020-02-14 22:35:37,2020-07-22 13:20:46,159
"111,607",2020-02-17 20:10:35,2020-07-22 13:20:46,156
"106,512",2020-02-11 18:36:13,2020-07-22 13:20:46,162
"111,653",2020-03-19 02:18:05,2020-07-22 13:20:46,125
"111,712",2020-02-06 17:06:36,2020-07-22 13:20:46,167
"111,725",2020-02-05 23:38:17,2020-07-22 13:20:46,168
"111,741",2020-03-09 20:48:04,2020-07-22 13:20:46,135
"111,820",2020-02-18 14:06:01,2020-07-22 13:20:46,155
"111,995",2020-02-18 01:48:02,2020-07-22 13:20:46,155
"112,069",2020-02-13 11:33:57,2020-07-22 13:20:46,160
"112,085",2020-02-18 14:31:43,2020-07-22 13:20:46,155
"112,110",2020-02-15 04:28:40,2020-07-22 13:20:46,158
"106,371",2020-02-18 18:27:10,2020-07-22 13:20:46,155
"112,130",2020-02-15 15:20:28,2020-07-22 13:20:46,158
"112,147",2020-05-19 19:36:28,2020-07-22 13:20:46,64
"106,487",2020-06-19 22:01:46,2020-07-22 13:20:46,33
"112,205",2020-02-14 14:56:05,2020-07-22 13:20:46,159
"112,259",2020-02-14 22:39:00,2020-07-22 13:20:46,159
"112,297",2020-05-18 10:49:18,2020-07-22 13:20:46,65
"112,330",2020-02-22 17:00:28,2020-07-22 13:20:46,151
"112,380",2020-02-18 20:52:22,2020-07-22 13:20:46,155
"112,412",2020-02-27 21:46:35,2020-07-22 13:20:46,146
"112,428",2020-02-26 20:50:33,2020-07-22 13:20:46,147
"112,475",2020-02-19 22:06:27,2020-07-22 13:20:46,154
"113,397",2020-03-11 23:32:35,2020-07-22 13:20:46,133
"113,430",2020-03-12 12:33:21,2020-07-22 13:20:46,132
"113,456",2020-03-20 14:07:23,2020-07-22 13:20:46,124
"113,489",2020-03-12 14:24:46,2020-07-22 13:20:46,132
"113,147",2020-03-13 18:15:52,2020-07-22 13:20:46,131
"111,321",2020-06-12 19:19:25,2020-07-22 13:20:46,40
"113,734",2020-03-13 16:15:32,2020-07-22 13:20:46,131
"113,746",2020-03-18 13:51:29,2020-07-22 13:20:46,126
"113,765",2020-03-13 01:45:11,2020-07-22 13:20:46,131
"113,520",2020-03-12 00:12:15,2020-07-22 13:20:46,132
"112,438",2020-03-17 13:47:08,2020-07-22 13:20:46,127
"113,855",2020-05-15 20:57:49,2020-07-22 13:20:46,68
"113,930",2020-04-08 20:09:57,2020-07-22 13:20:46,105
"108,521",2020-03-17 17:33:29,2020-07-22 13:20:46,127
"113,559",2020-03-19 01:51:38,2020-07-22 13:20:46,125
"113,971",2020-04-08 03:54:52,2020-07-22 13:20:46,105
"107,309",2020-04-09 17:42:31,2020-04-09 20:25:31,0
"107,656",2020-03-27 17:58:22,2020-07-22 13:20:46,117
"108,655",2020-03-18 13:53:31,2020-07-22 13:20:46,126
"108,496",2020-06-29 01:51:45,2020-07-22 13:20:46,23
"114,034",2020-03-23 14:28:27,2020-07-22 13:20:46,121
"114,051",2020-03-20 13:02:52,2020-11-30 10:05:21,255
"114,059",2020-06-03 20:49:30,2020-11-30 10:00:22,180
"114,074",2020-03-15 14:21:21,2020-11-30 10:02:18,260
"114,080",2020-03-22 16:53:47,2020-11-30 10:02:20,253
"114,088",2020-05-21 07:48:56,2020-11-30 10:00:25,193
"114,097",2020-04-05 14:58:37,2020-07-22 13:20:46,108
"113,545",2020-03-21 17:57:52,2020-07-22 13:20:46,123
"112,538",2020-02-24 23:18:18,2020-07-22 13:20:46,149
"112,549",2020-03-05 15:15:08,2020-07-22 13:20:46,139
"112,567",2020-02-27 21:36:01,2020-07-22 13:20:46,146
"112,617",2020-03-06 15:24:29,2020-07-22 13:20:46,138
"112,646",2020-02-21 00:25:48,2020-07-22 13:20:46,152
"111,643",2020-02-20 17:18:35,2020-07-22 13:20:46,153
"107,089",2020-02-20 17:00:34,2020-07-22 13:20:46,153
"110,000",2020-02-27 22:09:12,2020-07-22 13:20:46,146
"109,967",2020-02-26 12:22:59,2020-07-22 13:20:46,147
"108,997",2020-03-01 19:04:54,2020-07-22 13:20:46,143
"112,796",2020-04-28 17:14:21,2020-07-22 13:20:46,85
"112,810",2020-02-28 23:15:56,2020-07-22 13:20:46,145
"112,817",2020-05-14 11:58:55,2020-07-22 13:20:46,69
"112,831",2020-02-24 13:08:39,2020-11-30 10:00:03,280
"112,842",2020-04-01 21:00:19,2020-07-22 13:20:46,112
"112,853",2020-02-24 08:32:39,2020-11-30 10:03:36,280
"112,863",2020-02-22 11:45:11,2020-07-15 21:49:33,144
"112,870",2020-02-25 12:31:52,2020-11-30 10:00:05,279
"112,882",2020-02-25 09:58:20,2020-11-30 10:03:39,279
"112,887",2020-02-24 13:40:44,2020-11-30 10:06:36,280
"112,909",2020-03-07 12:05:40,2020-11-30 10:00:09,268
"107,616",2020-03-05 22:22:37,2020-07-22 13:20:46,139
"112,999",2020-03-04 22:28:49,2020-07-22 13:20:46,140
"113,025",2020-03-26 19:34:24,2020-11-30 10:05:20,249
"113,034",2020-03-04 12:09:00,2020-11-30 10:02:08,271
"113,092",2020-03-07 03:10:21,2020-07-22 13:20:46,137
"113,102",2020-03-18 14:05:57,2020-07-22 13:20:46,126
"113,134",2020-03-13 17:32:58,2020-07-22 13:20:46,131
"113,172",2020-03-15 11:40:55,2020-07-22 13:20:46,129
"113,181",2020-04-02 16:44:09,2020-07-22 13:20:46,111
"113,206",2020-03-04 00:17:06,2020-07-22 13:20:46,140
"113,589",2020-03-26 19:08:59,2020-07-22 13:20:46,118
"113,596",2020-04-08 16:53:21,2020-07-22 13:20:46,105
"113,678",2020-03-24 18:45:09,2020-07-22 13:20:46,120
"113,743",2020-03-19 11:19:24,2020-07-22 13:20:46,125
"113,758",2020-03-18 14:51:10,2020-07-22 13:20:46,126
"113,737",2020-03-20 17:31:01,2020-07-22 13:20:46,124
"113,835",2020-04-14 11:35:51,2020-07-22 13:20:46,99
"113,828",2020-03-23 16:33:43,2020-07-22 13:20:46,121
"113,794",2020-03-19 02:54:46,2020-07-22 13:20:46,125
"113,681",2020-03-18 00:02:33,2020-07-22 13:20:46,126
"113,730",2020-03-19 06:38:36,2020-07-22 13:20:46,125
"113,694",2020-04-07 01:34:09,2020-07-22 13:20:46,106
"113,703",2020-04-04 02:38:17,2020-07-22 13:20:46,109
"113,791",2020-03-18 20:37:14,2020-07-22 13:20:46,126
"113,753",2020-07-17 19:08:10,2020-07-22 13:20:46,5
"113,654",2020-03-18 19:05:33,2020-07-22 13:20:46,126
"113,717",2020-04-01 23:16:02,2020-07-22 13:20:46,112
"114,114",2020-03-18 23:43:33,2020-07-22 13:20:46,126
"109,523",2020-03-20 16:37:57,2020-07-22 13:20:46,124
"113,443",2020-03-18 17:25:36,2020-11-30 10:06:39,257
"114,145",2020-03-16 16:35:20,2020-11-30 10:06:53,259
"114,149",2020-03-14 12:47:07,2020-11-30 10:06:54,261
"114,154",2020-03-20 16:42:24,2020-11-30 10:00:58,255
"110,212",2020-05-28 23:05:40,2020-07-22 13:20:46,55
"114,163",2020-03-30 11:32:49,2020-11-30 10:02:31,245
"114,171",2020-03-16 18:06:46,2020-11-30 10:06:59,259
"113,894",2020-03-23 22:28:59,2020-07-22 13:20:46,121
"113,919",2020-03-26 17:10:10,2020-07-22 13:20:46,118
"113,518",2020-03-31 14:01:35,2020-07-22 13:20:46,113
"113,441",2020-03-19 19:15:07,2020-07-22 13:20:46,125
"113,506",2020-03-24 22:30:14,2020-07-22 13:20:46,120
"113,469",2020-03-28 12:33:48,2020-07-22 13:20:46,116
"113,411",2020-03-30 14:44:04,2020-07-22 13:20:46,114
"113,400",2020-04-28 20:53:06,2020-07-22 13:20:46,85
"113,350",2020-03-20 17:52:55,2020-07-22 13:20:46,124
"113,256",2020-03-25 20:02:59,2020-07-22 13:20:46,119
"113,382",2020-03-25 23:49:33,2020-07-22 13:20:46,119
"113,285",2020-03-21 13:29:28,2020-07-22 13:20:46,123
"113,333",2020-04-01 05:08:37,2020-07-22 13:20:46,112
"113,309",2020-04-03 17:26:55,2020-07-22 13:20:46,110
"113,267",2020-03-26 10:54:39,2020-07-22 13:20:46,118
"113,229",2020-03-30 20:04:09,2020-07-22 13:20:46,114
"113,248",2020-03-05 23:30:49,2020-07-22 13:20:46,139
"113,282",2020-04-12 18:11:41,2020-07-22 13:20:46,101
"113,394",2020-03-08 22:05:04,2020-07-22 13:20:46,136
"113,422",2020-03-10 11:50:47,2020-07-22 13:20:46,134
"113,448",2020-03-24 21:00:47,2020-07-22 13:20:46,120
"113,470",2020-03-17 19:39:09,2020-07-22 13:20:46,127
"109,732",2020-03-16 22:52:19,2020-07-22 13:20:46,128
"109,816",2020-03-11 23:16:37,2020-07-22 13:20:46,133
"106,305",2020-03-12 21:15:31,2020-07-22 13:20:46,132
"113,670",2020-07-16 20:24:46,2020-07-22 13:20:46,6
"113,692",2020-03-13 17:10:35,2020-07-22 13:20:46,131
"111,824",2020-03-12 21:04:59,2020-07-22 13:20:46,132
"113,744",2020-03-11 19:07:05,2020-07-22 13:20:46,133
"113,762",2020-03-14 16:58:17,2020-07-22 13:20:46,130
"110,733",2020-03-16 16:45:38,2020-07-22 13:20:46,128
"113,836",2020-03-16 21:45:12,2020-07-22 13:20:46,128
"112,439",2020-03-30 14:18:34,2020-07-22 13:20:46,114
"113,863",2020-04-07 16:17:43,2020-07-22 13:20:46,106
"107,177",2020-04-01 19:55:57,2020-07-22 13:20:46,112
"108,050",2020-03-20 10:19:08,2020-07-22 13:20:46,124
"108,183",2020-03-25 21:56:08,2020-07-22 13:20:46,119
"108,919",2020-04-11 19:35:01,2020-07-22 13:20:46,102
"112,521",2020-04-01 16:30:16,2020-07-22 13:20:46,112
"114,028",2020-03-24 00:21:40,2020-07-22 13:20:46,120
"114,049",2020-03-25 22:22:40,2020-07-22 13:20:46,119
"114,058",2020-03-30 10:36:11,2020-11-30 10:06:41,245
"114,067",2020-03-17 19:54:56,2020-11-30 10:06:44,258
"114,078",2020-03-18 14:20:45,2020-07-22 13:20:46,126
