merchant_name,nooftransactions
HIPERMERCADO BIG 083,4
PAYU        *BlizzardE,4
"RODOVIA BR 153, S/N KM",4
ThiagoOsmar,4
MariaDeFatimaDa,4
CirosBarComercioV,4
PostoPetrotech,4
SAM S CLUB B RETIRO,4
CASA DE CARNE BOI DO P,4
ACOUGUE DOS AMIGOS,4
AV GERASSINA TAVARES,4
P AVENIDA DAS FLORES,4
CARREFOUR 37 JDI JUNDI,4
RCL*HANAMY,4
PAYPAL *BANGGOOD,4
CATARINENSE PICARRAS,4
BLITZ HAMBURGUERIA,4
EC*DELIVERYNETWO,4
MAKRO POSTO 02,4
EVE Online Items,4
ALEX RODRIGUEZ PINTO,4
SUPER IMPERATRIZ,4
HORSE AND JOCKEY,4
SUPERMERCADO QUEIROZ,4
RAPPI - GROCERIES,4
VALERIA LANCHES,4
M FERREIRA,4
A COLATINO DE MELO,4
EDSON SILVA PRADO DE L,4
PICPAY *ZX3 RECARGACE,4
IMPERATRIZ GOURMET,4
RUBAO BATATA,4
T K MAXX,4
Daemon,4
COM TEMPA,4
BOARD OF BEANS,4
Google Supercell,4
MASSA VIVA,4
MERCADINHO MOURA,4
PARADOURO 410,4
ALAIDE FLORINDO,4
AV. ANTONIO CARLOS MAG,4
PAYPAL *BOOHOO COM,4
FARMACIA POPULAR PRECO,4
EliakimLaurindoDe,4
SARAH DAYANE VASCONCEL,4
FARMACIA CRISEN FARM,4
VICKSON BARBOSA MORAIS,4
RUA BARAO DE MELGACO,4
HOSTAL SANT CRISTOFOL,4
COSTCO WHOLESALE UK,4
AVENIDA PRESIDENTE TAN,4
FARMACIA ANG LJ 111,4
JOSE ALCEU DE SOUZA,4
EXTRA  HIPERMERCADO,4
COMERCIAL MARINGA,4
MARKS   SPENCER SACAT,4
VALENET,4
PADUA,4
FRIBAL CALHAU,4
SAO JOAO FARMACIAS,4
CARREFOUR 44 SPL-LIMAO,4
SalgadosJerryCia,4
CASA DO PAO,4
LAVAAUTOS,4
GALPAO PASTEIS E PETIS,4
ILIAD,4
HORTIFRUTINOVA MIRAND,4
GOJI SUCOS,4
RYANAIR,4
BICING,4
AUTO POSTO QUALITY,4
GOOGLE *Google Store,4
RJM EMPREENDIMENTOS DE,4
COMERCIAL G B A DE ALI,4
PICPAY *EJ3 PGTOCONTA,4
ELISAN PESCADOS,4
HIPER SELECT SUPERMECA,4
BK BRASIL,4
DROGASIL 2421,4
CHOPERIA DO JENNER,4
EMPORIO JOTA,4
KAKAU HOTBURGUER,4
LEA AND SANDEMAN,4
PICPAY *GR1 PGTOCONTA,4
UniversoOnline,4
PORTAL DO SOL,4
CONECTCAR,4
DICICO LOJA 35,4
CINEPOLIS IGUATEMI JK,4
GU CONVENIENCIA E LAVA,4
CH PLANALTAO 225 PL2 L,4
RESTAURANT SOFIA,4
FRANGAO DO AEROPORTO,4
H S MERCEARIA LTDA ME,4
THE WATERFRONT,4
DiegoVargasDaCost,4
Google YouTube Member,4
KINGS BASTION LEISURE,4
COMERCIAL PAGUE E MENO,4
MAGAZINE LUIZA*MAGAZIN,4
WM MORRISONS PETROL OP,4
MERCPAGO*ALEXGATTI,4
RESTAURANTE CHAPADA PA,4
ZUG APOTHEKE AG,4
SantoCafe,4
AUTO POSTO OBJETIVO,4
LANCHES PICA PAU,4
COMPANHIA DA CARNE,4
REAL MIX,4
VERITAS,4
MERCADO PARAISO,4
CARREFOUR ALCAZ,4
HFX  HACKNEY,4
COMPER LOJA 96,4
GIAMAR GER,4
PAGO*FACUL PARK,4
AL WADIH ESFIHARIA,4
BOMPRECO B528 H IGUATE,4
SHOP TIME,4
MEGAMATTE CAX,4
RUA PRESIDENTE GETULIO,4
RescaroliComercio,4
PAO DE ACUCAR 1717,4
CHOCOLATE LAGO NEGRO,4
FARMA SA,4
N307951,4
SUPERMERCADO NAGUMO,4
AUTO POSTO CECI,4
EST. SHOPPING IGUATEMI,4
CASA SAO LUIS,4
SUPERMERCADO COPAGRIL,4
IKEA MALAGA,4
DROGARIAS NISSEI,4
MERCADO JL,4
MERCADO MANCEBO,4
CRUZADA DA BARRA,4
RAPPI*SAFE BRASIL INTE,4
AVENIDA PAES DE BARROS,4
POSTO DA GRUTA,4
SWIFT KLABIN,4
WEB5Z61,4
MINEIRO BOM,4
RonildoAlmeida,4
T B ALMEIDA,4
MEGA PAO,4
IFOOD*IFOOD,4
3T COMERCIO DE CARNES,4
RECARGAPAY CLARO,4
AV DOUTOR GUILHERME DU,4
PAYGONALK RESTAURANTE,4
AV AMPELIO GAZETA,4
RODOVIA PRESIDENTE DUT,4
SUPERMERCADO AVENIDA,4
CORTE INGLES COSTA MIJAS,4
AUTO POSTO RODOVIAS LT,4
FELIPE TOME,4
120387220,4
EC*VESTEBEM,4
AV SAVIO GAMA,4
CASA DE CARNES E FRIOS,4
HIPERMERCADO BIG 004,4
PICPAY *WX8 HELTONNAS,4
RUA VALTER JOSE ALVES,4
MC DONALDS  MERCES,4
FrancieleRibeiro,4
CASAS BAHIA,4
MERCEARIA NOSSA,4
100 MONTADITOS,4
W M MORRISONS.COM,4
AVENIDA MARGINAL LESTE,4
FABRIKA DO SOM,4
PostoMariluLtda,4
POSTO MORUMBI DE ATIBA,4
BOI FILE,4
RUA GABRIEL JORGE SALO,4
POSTO ABASTECIMENTO HC,4
GOLDEN GREEN MANIA DEL,4
PAYPAL *ZALANDOSE,4
CONDOR JOINVILLE FL 48,4
AME DIGITAL *AME Digit,4
AD SILVA,4
PAYPAL *EDUZZTECNOL,4
AL SUPER 10 NT,4
POSTO JR,4
GOOGLE *GSUITE_waresou,4
ZARA INTERNET PORTUGAL,4
PICPAY *ZF9 EDNEISILV,4
MC DONALDS  WHI,4
MERCEARIA NETTO,4
PANIFICADORA DINIZ,4
FEDERSONI GUIMARAES EM,4
SERRA CONVENIENCIAS,4
PARME,4
FORNERIA ORIGINAL,4
LANCHONETE PASTELANDIA,4
CONDE SUPERMERCADOS,4
FARMACIA PARA TODOS,4
HORTUS COMERCIO DE ALI,4
HIPER MATEUS,4
PANIFICADORA CAMILO,4
JUICE HOUSE,4
DROGARIA NORDESTE,4
PANIFICADORA CATARINEN,4
NOBREZA,4
CASA DO PASTEL,4
SILVANO FESTAS,4
LEROY MERLIN SOROCABA,4
RUA CALMON SN,4
QUADRA 1206 SUL ALAMED,4
FarmaciaPestana,4
AVENIDA PADRE VICENTE,4
PADARIA E MERCEARIA DO,4
POSTO VITRINE,4
TELHA NORTE,4
RODOVIA BR-324,4
CASA DI CAFE,4
RESTAURANTE PELANDA LT,4
EC*FRESHEN,4
CAFETERIA PRINCESA,4
SAM S CLUB BARIGUI,4
NatuFlora,4
CARS TAXI SERVICES CO,4
MULTIPLAN ADM,4
SUPERCENTRAL SUPERMERC,4
KALUNGA MOEMA,4
WAL MART INDIANOPOLIS,4
AKDENIZ SUPERMARKET,4
SUPERMERCADO DIALPRIX,4
PICPAY *SA6 PAULOGOME,4
REDE MONTE CARLO,4
SORVETERIA CREMOSO,4
PAULO CELSO MALOSTE ME,4
DJ TAKANO QUITANDA E M,4
RUA COSTA BARROS,4
FRANCISCA GUEDES DOS S,4
Telegaseagua,4
OFICINA DAS PIZZAS,4
DELIVERYCENTE,4
MARIA PADOCA LOJA DE C,4
BCC MUGELLO,4
ARMARINHO JOAO ANJO,4
DROGASI,4
CE EMPREENDIMENTOS,4
DIA BRASIL 089,4
CRG LANCHONETE E RESTA,4
KAPAZI,4
PAYPAL *NELSONLEAL1,4
AVENIDA CORONEL PEDRO,4
COM BARRA POINT LTDA,4
SAPORITO,4
CONVEN POSTO TABAPUA,4
DRAKOULIS MEAT MEPE,4
RESTAURANTE CENTRAL GR,4
AUTO POSTO MR,4
SIMPLY FRESH,4
LYLLA PARK,4
RUA DOUTOR RICARDO QUI,4
DBELLOTA GIBRALTAR,4
AUTO POSTO PAIXAO,4
Google OASIS GAMES,4
PADARIA MASSA EXTRA,4
GELATERIA MILANI,4
ACQ*RK DISTRIBUIDORA,4
SAPORI LJ DE CONVENIEN,4
EXTRA 1346,4
CONFIANCA SOROCABA,4
ASDA SUPERSTORE,4
MERCADONA PLAZA MAYOR,4
CAFFE NERO OROKLINI,4
ALDI,4
CENTRAL GAS DO RETIRO,4
MAKRO  02,4
RAIA 357,4
MOSELA E CAPELA,4
CARREFOUR 48 SPG-GIOVA,4
RAIA 241,4
NEW CHANG,4
POSTO DE GASOLINA LORD,4
topx,4
FAST MARKET,4
Clenea      *Clenea,4
FERGUS STYLE CALA BLANCA,4
PrecoUnicoHiper,4
FRUVER FRUTAS VERDURAS,4
POLICLINICA CUBE MEDIC,4
SHELL PKP LIVADHIA,4
RENAN MASSAROLLO SILVE,4
L. LUIS LEITE EIRELI,4
CHOPP BRAHMA BIG,4
Google Playrix Games,4
PedroLeonardo,4
VELHO MADALOSSO,4
PADARIA BIENAL,4
www.groupon.co.uk,4
HIPERMERCADO BIG 200,4
SUPERMERCADO LEVE,4
DANIEL MARCOS ROGERIO,4
DISK GAS,4
PICPAY *UU5 PGTOCONTA,4
BAYLEY   SAGE,4
CELULAR,4
VALCI PETRY 0241728096,4
PIZZATO VINHAS E VINHO,4
100815167,4
PadariaMassaExtra,4
MERCADO SALES,4
Pepperoni,4
MERCPAGO    *MAXTERS,4
PICPAY *CACAUSHOWBOUL,4
RUA JUERANA RODOVIA 04,4
RUA CLODOMIRO AMAZONAS,4
AVENIDA AYRTON SENNA,4
AUBA ALIMENTACIO SLU,4
DENISE DE ALMEIDA EVAN,4
SUPERCOR SOTOGR,4
MONETIZZE   *Mtodo,4
POSTO MARQUINHO - BR,4
SUPER FESTIVAL,4
RASCAL,4
BENTA DE ARAUJO OLIVEI,4
HMGPITTAPADARIAEC,4
MUFFATO SANTA FELICIDA,4
CASA DE CARNE A PEQUEN,4
DELLIPANI DELICATESSEN,4
BURGER KING CAMPINAS B,4
DANIELA FERREIRA DE OL,4
DIA BRASIL 476,4
POSTO CAPOEIRAS EIRELI,4
POSTO UNIAO,4
MIGROS ALN SIHLPASSAGE,4
JoiltonBarrosDos,4
FAST SHOP SA 33,4
SUCESSO CONVENIENCIA,4
Google ADS7962676790,4
CARIOCA SERVICOS,4
Revolut**2163*,4
Mfcorrea,4
PIZZARIA MANGABEIRAS,4
CHALE DO TRIGO PAES E,4
ECOLAV ESTETICA AUTOMO,4
TIO SHAWARMA,4
TIAGO FIALHO ME,4
AUTO POSTO UNIVERSITAR,4
POSTO COMBUSTIVEL CONT,4
BanquetaCoquetela,4
PESCA & LAZER,4
THE POST OFFICE,4
Shitaki,4
JociaraAlves,4
W B M JORNAIS E REVIST,4
FITPAG,4
ARM COMBUSTIVEIS LTDA,4
DIRPAY *IGREJA UNIVER,4
S.O.S FUNILARIA E PINT,4
NOSSO CAFE,4
SUMUP  *OFAVORITORESTA,4
LIDIA 77,4
MERCPAGO*CARTORIOFEDER,4
R. MARECHAL HASTIMPHIL,4
TESCO STORE 2619,4
PICPAY      *GU1 SAVIO,4
PAYPAL *NASTYGALCOM,4
AMIGAO DISK BEBIDAS,4
DIA 3400,4
CHURRASCARIA ABDALA,4
N010131,4
PAO DOURADO,4
CORTE INGLES COSTA MIJ,4
DUBAI TAXI,4
AV DA AMIZADE,4
1620000001,4
SUPERMERCADO CAMPEAO,4
CASA GIRALDI,4
KARRAO AUTO PECAS,4
HUNGRY MONKEY LTD,4
RESTAURANTE GOKOKU,4
FARMACIADONEI,4
EC*APOSTILAHOME,4
SORFRIO COMERCIO DE PR,4
PREZUNIC 702,4
PsicologoTayanan,4
SUPER DIA DIA LEBLON,4
MULTI SOLDAS ABRAS,4
RAIA 1478,4
DEP BEBIDAS BARRETO,4
CHAPARRAL COMBUSTIVEIS,4
LEWIS BAR,4
RESERVA DEL HIGUERON,4
MERCPAGO    *SABORDAL,4
PURE INDIAN COOKING,4
ACOUGUE 5 IRMAOS,4
A PERFUMISTA,4
TORO RESTAURANTES LTDA,4
POSTO KATAYAMA,4
ZANOTTI PRESENTES LTDA,4
EMPORIO DO CAFE E SUCO,4
DROGARIA PACHECO,4
CAFE MAISON,4
ROYAL SUPERMERCADOR,4
EDMILSON S DOS SANTOS,3
ELETROZINA,3
JoseRosaDeSales,3
Revolut**9129*,3
WESTMINSTER PARKING,3
Anaflaviadasilvac,3
ROLDAO VILA MATHIAS,3
"BOOTS,DALSTON",3
HOLMES PLACE,3
DM Drogerie Markt,3
SUPERSOL SU 0083,3
Anaclaudiasilvest,3
JESPAC FLORIDABLANCA,3
PERRUQUERIA GINESTET,3
VETERINARIA CENTENARIO,3
REVO*Luis FranciscoTejada,3
LEROY MERLIN LA ZENIA,3
JERONIMO ALECRINS,3
PREMIERE ANIMAL CENTER,3
COLUMBIA SPORTSWEAR SP,3
KWWO INC,3
PAO DE ACUCAR LJ 1299,3
POSTO PIZA,3
NATIONAL TAXI,3
IZ *38 WENZELS THE BAK,3
THE ATLAS,3
EL CORTE INGLES PARKING,3
BAILEYS FISH   CHIPS,3
AUTOPISTAS DE NAVARRA S.A,3
PICPAY *MY5 RICARDOAB,3
BANKIA      346,3
THE RENDEZVOUSS,3
ZONA SUL    *ATACADO,3
PICPAY *HN4 GOOGLEPLA,3
VANDERLANIO AVELINO DU,3
"BOOTS,HEATHROW",3
POSTO JM SANTA ROSA,3
BAR BLOCK40537520,3
JocielFirminodaCr,3
TE43636,3
DELIVEROO.CO.UK,3
IZ *D i s t r i c t,3
WELLINGTON SILVA DE LI,3
IUGU        *DogHero,3
KIABI.ES,3
MAMMA MIA,3
HAPPY HOUSE,3
LUCIANO RESTAURANTE,3
THE ROCKS BAR E BARBEA,3
SKLAVENITIS GLYFADA,3
STORYBLOCKS,3
W M MORRISON PLC,3
SQ *FOOTNOTE,3
Google Huang Yujian,3
MERCPAGO    *PINGOIMP,3
RECargap    *OI,3
PROMENTUM SPAIN SLU,3
MERCPAGO    *MARMITEX,3
SHAMA MARCIA,3
ARASH HONARKAR MIRASAD,3
INCI FOOD CENTRE,3
Google EpicActionLLC,3
ACUBA,3
HOTEL IRMAOS BENETTI,3
WWW.NPOWER.COM,3
SumUp  *The Blind Stag Ba,3
FLEXJOBS.COM,3
RBCZ,3
VUELING AIRLINES,3
MERCADOPAGO*YY,3
DM COMERCIO DE AUTO PE,3
TEMBICI,3
HOTEL GARBI COSTA LUZ,3
SumUp  *Cristina RIBEIRO,3
OTPMOBL*VODAFONE.HU,3
MARKS AND SPENCER CITY,3
MERCPAGO*UNIKY,3
PAYPAL *CARTRIDGEPE,3
SUPERMERCADOS MASKOM,3
ALZIRA LOURDES DE PAUL,3
AB_ETHNIKI,3
FIATC MUTUA DE SEGUROS Y,3
LEROY MERLIN - SBG S.A,3
MERCPAGO    *VIRTUALL,3
TOP BRASIL CHINELOS,3
WAITROSE LTD,3
DM-Drogerie Markt,3
DIA MARKET,3
TOQUE ELETRONICOS,3
A.R.E.A.,3
Damaris,3
RAKUTEN.TV,3
NICO PANIFICADORA,3
E.S SON OMS,3
GIBRALTAR CAR PARKS,3
COOP OBS JESSHEIM 246845,3
TRADERA,3
TESCO STORES 2728,3
IZ *London Taxis,3
PANIFICADORA RENATA,3
EMEVAN HOLDINGS LIMITE,3
JanainaMachadoBot,3
THI,3
NAU,3
BLUE BOAT,3
PostoAgricopel,3
THYME   TIDES,3
LOTERIES DE CATALUNYA,3
SERCOMTEL,3
68630017,3
NATUREKO,3
FlorestaSupermark,3
SumUp  *Arctique 360,3
AUTO PARK,3
TIM         *GigaBPr8k,3
THE RENDEZVOUS,3
SUMUP*Coco Ibirapue,3
PICPAY *QX9 PGTOCONTA,3
Google ADS9297370449,3
BAR REST LA BENZINERA,3
H A C E SILVA MATERIAI,3
POLLO CAMPERO,3
AB_GLYFADA_3,3
APUKA MAQUINAS E FERRA,3
TAQUILLA DE MADERA,3
SODEXO 6778,3
SUPER HABIL,3
CASASBAHIA.C,3
POSTO MIGUEL SUTIL,3
SUSHI GOHAN,3
PAYPAL *ANYTHINGWOR,3
E.S. CALLDETENE,3
MIELE MOTO SHOP,3
IZ *CHELPAR LIMITED,3
DM DROGERIE MARKT-401-,3
MercPago    *TELESENA,3
NB869088,3
LEROY MERLIN NATAL,3
O2,3
99* POP 05Mai 01h18min,3
PAGO*FRANCARNES,3
PIZZA HUT,3
PG*Eduzz,3
COSTA COFFEE,3
99* POP 31Mai 14h52min,3
ReginaHelenaSant,3
PETROPRIX SEDE,3
APROXIMA,3
Woodstock,3
DECATHLON SON MOIX,3
ALAMEDA EXPRESS,3
XAPO,3
DESBALLASTAMENTS POL S.L.,3
SUMUP  *LETICIAFOSCARI,3
JACOMAR SITIO CERCADO,3
DRCONSU*Dr Consulta,3
WWW.NIKESTORE.COM,3
LONDON  PUTNEY,3
WilliamSouza,3
AS GIRAO REST E PIZZAR,3
MERCPAGO    *MCINFORM,3
KEBAB SHACK,3
AUTO DZ,3
PAYPAL      *ADOBE,3
GREYCIANE BRAZ BARROSO,3
AMZ*Amazon.es,3
PAYPAL *HOTSPOT,3
Dussmann d.KulturKaufhaus,3
TESCO STORE 2814,3
PASTISSERIA ESCRIBA,3
MONETIZZE,3
RESTAURANTE MONTSERRAT,3
99* TAXI 21Abr 18h49mi,3
RUA MARANHAO,3
MERCPAGO    *DISTRIBU,3
SAINSBURYS SACAT (4364,3
68630008,3
LA MORALEJA,3
SUMUP  *MAISBELLASANTO,3
CHATZIPAANAGIOTOU OE,3
HELLENIC BANK,3
AAHA ORG,3
Cajeros Plaza,3
MADEIRAS GUEDES GANDOL,3
Lidl Baar,3
COOP TS BAAR,3
APH VETERINARY HOSPI,3
Prime Fresh,3
MERCPAGO*AGUIADOURADA,3
HOLLAND AND BARRETT,3
GamaInvest,3
B   Q SUPERCENTRE,3
SUPERMERCADOS DALBEN,3
BERGAMIN MAT P CONSTR,3
PAYPAL *TRIBOODIGIT,3
FARMACIA BONNIN,3
000000342,3
GUSTAVO CAORSI,3
RTE. PASEO DEL AGUA S L,3
SOFITEL THE PALM HOTEL,3
POSTO PAZ,3
PICPAY *YB4 PGTOCONTA,3
HT Bernardes,3
BROOK HOUSE,3
PICPAY *AY7 SPOTIFY,3
E.S. MONTILLA,3
N526451,3
DECATHLON ON LINE,3
CLARO KOJI INOUE EPP,3
W.E CONSTRUCOES E TRAN,3
PACHECO CAMPOS V,3
SUMUP  *IKARUSSENNA,3
ANDERSON BARBOSA DA SI,3
AUTO POSTO VITRINE LTD,3
ESTAPAR THE BLUE OFFIC,3
VICTORIA LOUNGE,3
PAYPAL *RAKUTEN,3
VERDECRORA,3
BONPREU ARRODONIMENT SOLI,3
AMZN Mktp IT,3
DNPSKINGSCANYONLODGING,3
ASDA SUPERSTORE 04145,3
TAPA CANA,3
MINIPRECO,3
MONTE-BU.CZ,3
TROCADERO SOTOGRANDE,3
PARKING OKENDO-PAGO EMV,3
CRV*C-JVJWVZ from Curve,3
SUMUP*Andre Cell Ac,3
Star Bar,3
RESTAURANTE IKEA MALAGA,3
WEST 9 FOOD   WINE,3
"FRESH TRADE\"\"",3
BANK OF VALLETT,3
KAHAWA GMBH,3
MERCADINHO LIFE,3
LETSUSHI RIO 2,3
BP ONGAR WAY CONNECT,3
KAVA ANTHIDIS,3
SUPERMERCADO ARAUJO,3
Playstart,3
BORSATO E AZULINI LTDA,3
AUTOPISTA AP-7 SEITT,3
PAYPAL *BANGGOODTEC,3
CHOCOLATERIE TRANSIT,3
CONVENIENCIA 252,3
CROWN MINISTRIES,3
iZ *Jasama Limited,3
MERCPAGO*FELIPEBEVI,3
IssAPH fqTEINH,3
SKLAVENITIS AG.STEFANO,3
QUEBABGO,3
MERCPAGO    *MERCADO,3
O CANECAO,3
MCCABES PHARMACY RIDGEWOO,3
VIC POOL,3
KARINDERIYA S L,3
RIOT BOUTIQUE,3
GOOGLE*GOOGLE PLAY APP,3
iZ *Samba Kitchen,3
CELIO,3
SUPERMERCADO FACHOLLI,3
RESTAURANTE KE,3
ThalitaCastan,3
ORIGEN KM0,3
CARULLA PEREIRA PINARE,3
BAHNHOFKIOSK,3
DIALPRIX,3
AMZNMKTPLACE AMAZON.CO.UK,3
ACQIO  *Boulangerie A,3
MINAS GRILL,3
STREET FOODLE,3
APH VETENARY HOSPITAL,3
99* POP 04Mai 22h51min,3
Kellyrechdasilva,3
MENDONCA REST EIRELI,2
SOBRAL E PALACIO PETRO,2
"ZAHARA BROTHERS, S.L.",2
DELIVERY CENTER REGION,2
MERCADO 101,2
PIZZARIA E ESFIHARIA,2
SPECIAL MERCADO,2
ASSIS CAR WASH,2
DROGARIA CARREFOUR-IMI,2
NA CHAPA LANCHES,2
CENTER CAR,2
SUPERMERCADO PERFIL,2
BALNEARIO JOIA,2
ESTRADA DOS BANDEIRANT,2
NatalianoFerreira,2
MesConvenienciaE,2
MIYO CULINA JAPONESA,2
ALOISIO ANDRE DE JESUS,2
SAO PAULO 4,2
Google BrainFM,2
DIA BRASIL 081,2
AngelicaAnhaiaGom,2
JORLAN,2
FERRETERIA COMELLA SA,2
AVENIDA ALBERTO MARANH,2
COMERCIO DE GENEROS AL,2
MERCPAGO    *MOTOTAXI,2
Jrlimpeza,2
99* POP 02Abr 02h26min,2
RECVIVO     *119340410,2
CASSANDOCA PAES,2
RemedioPopular,2
PADARIA IRMAS FIGUEIRA,2
ESPACO MAIS SAUDE,2
CINEMAIS CINEMAS LTDA,2
CENTER ATLANTICA,2
EST ADHEMAR BEBIANO,2
EDITORA DENTRO DA HIST,2
ANDRE LUIZ FERREIRA ON,2
SABOR COMERCIO DE FRIO,2
ANALANCHES,2
BOBS MEZANINO,2
CAMILA DA SILVA CARVAL,2
RICARDO E YASIOARAK,2
CONVENIENCIA 252 LTDA,2
DELICIAS DO RANCHO,2
PADAN EMPREENDIMENTOS,2
LEROY MERLIN NORTE,2
PAYPAL *GENOMELINK,2
RECargap    *TIM,2
WHOLE FOODS MARKET FULHAM,2
MERCADINHO BOM PRECO,2
VITOR AMARAL DE ALMEID,2
Tortilla House Finland,2
MERCPAGO    *MEYGELAD,2
MERC SILVA E BARBOSA,2
ACAIDEIRA ACAI,2
99* POP 08Jun 19h11min,2
KOY SUSHI 2,2
DJANGO,2
J.B DE SOUSA COMERCIO,2
ALFA CONVENIENCIA EIRE,2
LOJAS AMERICANAS SALVA,2
99* TAXI 11Mar 16h01mi,2
MERCPAGO    *TAXIABRA,2
BAR DO JAPONES,2
RCHLO LOJA O,2
PG     *Santhatela,2
CLICKCAR RENTAL,2
Bifarma531,2
POSTO APM 3,2
J VIDAL CIA LTDA,2
POSTO ILHA BELA,2
CLINICA SAN ANTON,2
RogerioSilvaFelix,2
A BEZERRA DA ROCHA   M,2
GBARBOSA 186,2
DEZ PASTEIS,2
SINVOYUS TELASSIANT,2
BISTEK SUPERMERCADO,2
Posto Bandeira III,2
SP BROKLIN 3,2
TREVO AUTO POSTO,2
MC DONALDS  CBD,2
PORTO VINHO E BEBIDAS,2
99* POP 29Jun 07h47min,2
RamonBonfim,2
FARMACIA BRASIL POPULA,2
Remix,2
SACARIA RDC,2
PizzaMarcante,2
AUTO POSTO NOVO BUTANT,2
REAL CLUB MARITIMO SOTOGR,2
Vueling Air WDQBHM,2
BUIU SMART,2
OUTBACK BZ 28 DOWNTOWN,2
DROGARIA R L,2
ERNEST,2
BIG JEFF S BURGUER LTD,2
AUTO POSTO JR LTDA,2
COMERCIAL POPULAR,2
SACOLAO CORIOLANO LTDA,2
THE BOSS LEBLON,2
CASA CIRURGICA VIEIRA.,2
COISAS DE CRIANCAS,2
FabianaDeLimaGabr,2
POSTO FERRARI,2
MERCADINHO ABRAME,2
PB          *Malwareby,2
P BILLER ALVES BAR M,2
VULCANO BURGER,2
RECVIVO*11934041027,2
ANDERSON ALBERTO DE AG,2
ElvisRomaoDeFaria,2
PANIFICADORA TH LTDA M,2
SAO JANUARIO COMERCIO,2
EXTRA SUPER LJ 1829,2
TIM         *GigaBPryo,2
COISAS DO CHICO,2
PADARIA SAMEIRO,2
BISTROT,2
AVENIDA JOAQUIM NABUCO,2
"\"SHELL TO:LTO\"\"A'LL. 042\"",2
PP*7694CODE,2
MartaKasutomiKuro,2
HT RadarTecnico,2
BUD COMERCIO DE ELETRO,2
BURGER KING CAMPINAS S,2
CASA DE CARNES A PEQ,2
AUTO POSTO QUEBRAMAR,2
Construvip,2
FLOR DE LIS,2
CONV PELANDA,2
DESEJO DE MULHER,2
NORTH LONDON TAVERN,2
BIO MOTOS,2
MEGA VALE COSMETICOS,2
XANIT HOSPITAL INTERNACIO,2
VivianDeSales,2
E VINO      *BR2020262,2
PADARIA TRIGOMASSA,2
PADARIA GACEMMS,2
99* POP 13Jun 19h25min,2
PICPAY *CM1 JOSESALAS,2
SEU COXINHA NO COPO,2
SushiRestaurante,2
MERCPAGO    *DJMAQUIN,2
R CANDIDO BANDEIRA PIZ,2
TOP MARTIAL ARTS,2
SarahDayane,2
MERCADONA CC TORRECARDENA,2
DECK GELADO,2
JUMBO - LIVADHIA,2
AUTO POSTO  ATLANTICO,2
TELEINFO 2000,2
POSTO JOAO CORREA,2
MARAVILA COMERCIO DE A,2
ABASTECEDORA TRES AMIG,2
AngelicaCristinaT,2
AUTO POSTO GE,2
ADEGA ITAQUERI,2
SACOLAO KI DELICIA,2
AUTO POSTO AEROPORTO L,2
GRAND PRIX,2
MEDITERRANEA DE CREPES SA,2
POSTO BIG CAMBORIU,2
STTYLLO SUPERMERCADOS,2
OKELA HARATEGIA,2
MAGIAS DA NOITE,2
AUTO POSTO KINKAS LDTA,2
FITEIRO DE SEU RAMOS,2
RAIA 140,2
MIX PRESENTES SUMARE L,2
JD PRIMAVERA ALIMENTOS,2
TRE JK R COMERCIO DE A,2
99* POP 11Mar 19h37min,2
BATISTAS FAST FOOD EIR,2
AUTO POSTO AXR LTDA,2
CHARME COSMET CAXIAS,2
oiingressos,2
MC DONALDS  NFL,2
AUTO POSTO POPULAR,2
GALETO MATIAS,2
VIDA DE CAO PET SHOP,2
IzacBezerra,2
EMPORIO CASA BRANCA,2
AutoPostoViaExpre,2
ZAPPAS,2
MDL COMESTIVEIS LTDA,2
CARREFOUR ROMANIA SA,2
SUPERMERCADO PAULISTA,2
CoopSulBrasil,2
SUPERMERCADO ALABARCE,2
BEM ESTAR DRUGSTORE,2
PANIFICADORA MEU DOCE,2
MART MINAS ATACADO E V,2
SEU RACHID,2
ESTRELA AZUL,2
AUTO POSTO CENTRAL,2
YANPEI SU LANCHONETE,2
MILIUM 04,2
99* POP 13Mar 09h59min,2
CLO*KFM ESTACIONAMENTO,2
SUPERMERCADO SERRANO,2
CONSIGAS,2
FARMACIA DO ROSARIO,2
RENOVA FITNESS,2
DECATHLON BELO HORIZON,2
RONCAR MOTOS,2
SergioDeOliveira,2
MERCPAGO    *PANOSDEP,2
APARCAMIENTO ZAHARA DE LO,2
TELEFERICO SERRA NEGRA,2
HM COMERCIO DE PECAS,2
MAGALU COM,2
BROUX CONVENIENCIA,2
OLIVAS,2
PANIFICADORA CAMPINENS,2
FeminaClinicaDe,2
AUTO POSTO VILA OLIVEI,2
CAETANO E PINHEIRO LTD,2
DROGARIA ARAUJO 170,2
P & G SANTANA,2
FISIOLOGIC FISIOTERAPIA S,2
BR 116 SUL REDE JUNINH,2
ART SABOR ESPETARIA E,2
POSTO PEPE,2
COMERCIAL DE GENEROS A,2
DROGATRI INTERFARMA,2
POSTO CAMPEAO,2
SUPERMERCADO DA GENTE,2
COMERCIO DE CARNES AMC,2
ZPEMP,2
DiegoDeAlmeida,2
TUPAN CONSTRUCOES,2
FREDDO-JK IGUATEMI,2
CONEKTA,2
PAO PADARIA ARTESANAL,2
CATALONIA REINA VICTORIA,2
LANCHONETE E CHURR SER,2
DROG SAO PAULO FL,2
EC*SEGREDOLACRAD,2
